Member,Guild,"Rey (Jedi Training)","Veteran Smuggler Han Solo","Veteran Smuggler Chewbacca",BB-8,R2-D2,"Resistance Trooper","Commander Luke Skywalker","Han Solo","Captain Han Solo","Hoth Rebel Scout","Hoth Rebel Soldier",Pao,"General Veers","Colonel Starck",Shoretrooper,"Death Trooper",Snowtrooper,"Grand Admiral Thrawn","Chirrut Îmwe","Baze Malbus","Asajj Ventress","Mother Talzin","Old Daka",Talia,"Nightsister Acolyte","Nightsister Zombie","Home One",Endurance,Executrix,Chimaera
"BΛ Venox","104th Bataillon",0,7,7,7,7,7,7,7,7,7,7,7,7,7,4,5,7,7,3,4,7,5,7,7,7,4,7,7,7,7,186
PaulTailor,"104th Bataillon",7,7,7,7,7,7,7,7,5,7,7,7,7,7,6,6,7,7,7,7,7,5,7,7,7,4,7,7,7,7,201
VaderSeinVadder,"104th Bataillon",0,7,7,7,7,7,7,7,5,7,7,7,7,7,7,7,7,7,7,4,7,4,7,7,7,4,7,7,6,7,191
BuzzT,"104th Bataillon",0,7,7,7,7,7,7,7,5,7,7,7,7,7,7,4,7,7,7,7,7,5,7,7,7,3,7,7,7,7,192
"BΛ Tailerukh","104th Bataillon",0,6,6,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,6,7,5,7,7,7,5,7,7,6,7,194
Blindworm,"104th Bataillon",0,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,7,7,7,7,7,5,7,7,7,4,7,7,7,7,196
DerRumrotz,"104th Bataillon",0,6,6,7,7,7,7,7,7,7,7,7,7,7,7,4,7,7,7,7,7,4,7,7,5,5,7,6,6,7,189
DrUniverso,"104th Bataillon",0,7,7,7,7,7,7,7,7,7,6,6,7,7,3,7,7,7,7,3,7,7,7,7,7,7,7,7,7,7,193
Spitz,"104th Bataillon",0,7,4,7,7,7,7,7,7,7,7,7,7,7,5,3,7,7,7,0,7,4,7,6,3,4,7,7,7,7,176
franklynn,"104th Bataillon",0,5,4,7,7,7,7,7,7,7,7,3,6,4,5,3,7,7,0,5,7,4,7,7,4,5,7,7,6,7,166
"BΛ Wolfman1408","104th Bataillon",7,7,7,7,7,7,7,7,5,7,5,7,7,7,7,7,7,7,7,7,7,4,7,6,6,4,7,7,7,7,198
Gl0r10us,"104th Bataillon",7,7,7,7,7,7,7,7,5,7,5,7,7,7,5,7,7,7,7,6,7,3,7,7,2,4,7,7,6,7,190
"Agent Horstus Handabhacker","104th Bataillon",0,7,7,7,7,5,7,7,5,7,6,7,7,7,7,5,7,7,6,3,7,5,7,7,7,4,7,7,7,7,186
Ravek,"104th Bataillon",7,7,7,7,7,7,7,7,6,7,5,7,7,7,7,7,7,7,7,7,7,7,7,7,4,6,7,6,7,7,202
Subzilla,"104th Bataillon",7,7,7,7,7,7,7,7,5,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7,7,5,7,7,7,7,204
"BA SaniT","104th Bataillon",0,3,3,7,7,4,7,7,5,7,5,2,6,7,6,6,7,5,7,0,7,5,7,7,5,4,7,7,7,7,164
Trinity,"104th Bataillon",7,7,7,7,7,7,7,7,7,7,6,7,7,7,6,7,7,7,7,4,7,6,7,7,7,5,7,7,6,7,201
"BΛ 442nd Ardoran","442nd Bataillon",0,5,6,7,7,6,7,7,5,7,7,2,7,7,6,2,7,6,6,7,7,4,7,7,4,4,7,7,7,7,175
Wusel,"442nd Bataillon",0,7,5,7,7,7,7,7,7,7,7,7,7,7,5,4,7,7,6,7,7,4,7,7,7,4,7,7,7,7,189
Deadpoet,"442nd Bataillon",0,7,7,7,7,7,7,7,7,7,7,7,6,7,7,4,7,7,7,7,7,5,7,7,7,4,6,7,7,6,192
nick00,"442nd Bataillon",0,6,3,7,7,7,7,7,7,7,7,4,5,0,7,3,7,6,7,7,7,4,7,7,7,4,6,6,6,6,171
SoontirFel,"442nd Bataillon",0,3,3,5,7,0,7,7,6,7,4,3,7,7,6,7,7,7,4,3,4,3,4,6,0,4,6,6,6,6,145
BaboHulk,"442nd Bataillon",0,0,0,0,7,3,0,6,0,4,3,0,4,4,4,2,6,7,5,0,3,2,4,5,2,4,6,5,5,6,97
Bullet,"442nd Bataillon",7,7,7,7,7,7,7,7,6,7,6,5,5,6,6,5,7,7,7,4,7,5,7,6,5,5,6,6,6,6,186
Motschi89,"442nd Bataillon",0,4,4,0,7,7,7,7,4,7,7,2,5,0,3,3,7,7,7,3,7,4,6,7,2,4,7,6,5,6,145
MaXiMuM,"442nd Bataillon",0,6,7,7,7,7,7,7,4,7,5,2,6,7,4,3,7,7,7,7,7,4,7,7,3,4,6,6,6,6,170
Lapaluzza,"Imperial Bataillon",0,5,3,7,7,7,7,7,5,6,4,5,5,7,7,3,7,7,7,7,7,4,7,7,2,4,7,7,6,6,170
Nick,"104th Bataillon",7,7,7,7,7,7,7,7,5,7,5,2,7,5,3,4,7,7,0,0,7,5,7,7,7,5,7,7,6,6,172
Sheherazade,"104th Bataillon",0,7,7,7,7,4,7,7,5,7,6,7,7,7,4,4,7,7,4,0,7,3,5,6,3,4,6,6,6,6,163
"Chris Leeman","104th Bataillon",7,7,7,7,7,7,7,7,6,7,6,7,5,6,6,7,7,7,5,0,7,3,7,7,5,4,6,6,6,6,182
Radhad,"104th Bataillon",0,5,7,7,7,7,7,7,6,7,7,7,6,7,5,4,7,7,7,7,7,3,7,7,3,4,6,6,6,6,179
Itami,"442nd Bataillon",0,3,4,0,7,0,7,7,7,7,5,2,5,0,0,2,7,7,0,0,7,5,7,5,0,4,7,6,5,6,122
"BΛ Sigi","104th Bataillon",0,6,6,7,7,7,7,7,6,7,6,7,7,7,7,7,7,7,7,5,7,7,7,7,5,6,6,6,6,6,190
"Jakz Teller","104th Bataillon",0,7,6,7,7,7,7,7,7,7,6,7,7,7,6,4,7,7,7,0,7,4,7,7,6,4,6,6,6,6,179
"BΛ Valuan","104th Bataillon",0,7,7,7,7,7,7,7,5,7,5,4,7,7,0,4,7,7,7,7,7,3,7,7,4,4,6,5,6,6,171
limexx,"442nd Bataillon",0,5,6,7,7,2,7,7,5,7,5,3,7,5,5,5,7,7,7,4,7,3,5,7,2,3,5,5,6,5,156
Vargur,"442nd Bataillon",7,7,7,7,7,7,7,7,5,7,5,7,7,4,4,2,7,7,7,7,7,4,7,7,7,4,5,5,5,5,181
Ren,"442nd Bataillon",0,6,5,7,7,7,7,7,5,7,5,2,7,7,5,3,7,6,0,0,7,3,0,6,4,4,6,6,6,5,147
"Wes Jamson","442nd Bataillon",0,3,3,0,7,6,7,7,0,7,5,7,4,0,0,3,6,5,5,0,7,5,7,7,6,5,6,6,6,5,135
Buraki,"442nd Bataillon",0,7,5,7,7,4,7,7,0,6,4,7,7,7,7,5,7,7,7,3,7,3,7,5,4,4,6,6,6,5,164
"ΒΛ Abunille","Outerrim10 Bataillon",0,3,3,7,7,5,0,7,7,7,7,2,7,6,4,3,7,5,3,4,7,4,7,6,2,4,6,6,6,5,147
Cucpower,"442nd Bataillon",0,5,3,7,7,7,7,7,7,7,7,7,7,7,5,4,7,7,7,4,7,4,7,7,5,4,6,6,6,5,176
Anwalt,"442nd Bataillon",0,4,4,5,7,7,7,7,5,7,5,0,5,4,4,2,7,7,5,5,0,3,4,6,2,3,5,5,5,0,130
HaihappenUhaha,"442nd Bataillon",0,5,4,7,7,7,7,7,0,7,5,2,4,6,4,3,7,7,0,0,7,4,7,5,5,5,6,6,6,0,140
"ΒΛ 442nd Salomonjr","442nd Bataillon",0,6,3,0,7,4,7,0,0,5,3,2,5,0,7,3,7,0,7,7,7,4,7,6,4,4,6,6,6,0,123
Wyrdn,"442nd Bataillon",0,5,3,0,7,7,7,7,0,7,4,2,4,4,0,3,6,7,7,6,7,3,7,7,0,4,6,5,6,0,131
"Rui Vuusen","442nd Bataillon",0,7,7,0,7,3,7,7,0,7,6,7,4,5,0,3,7,5,0,4,7,3,7,7,0,3,7,6,6,0,132
Nightfighter,"442nd Bataillon",0,3,3,7,7,7,7,7,0,7,4,0,3,6,0,3,7,5,7,4,7,2,7,5,0,3,5,5,5,0,126
Akku,"442nd Bataillon",0,0,0,6,5,4,0,5,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,3,0,3,4,4,6,0,49
"BΛ Guardien","442nd Bataillon",0,3,3,0,7,6,7,7,0,3,5,2,3,4,0,6,6,6,5,0,6,3,0,7,0,4,6,6,5,0,110
"DΛrth JΛkz","442nd Bataillon",0,3,3,0,7,4,7,5,0,4,4,0,0,0,0,0,6,5,7,0,3,3,0,4,0,3,4,4,4,0,80
SmokeLO,"442nd Bataillon",0,6,5,7,7,7,7,7,4,6,4,0,5,0,5,2,6,7,6,4,7,4,7,5,3,4,5,6,6,0,142
"BΛ Limon","104th Bataillon",7,7,7,7,7,7,7,7,5,7,5,5,6,7,7,7,7,7,7,7,7,3,7,7,5,4,6,6,6,0,184
